id,name,short_name,owner_email,tax_id,address1,address2,city,us_state,zipcode,country,external_id,status,reject_reason,reject_detail,owner_id,reviewer_id,organization_id,notes,created_at,updated_at,approved_time_utc,account_code,sales_rep_id,owner_sales_rep_country,owner_sales_rep_office,owner_sales_rep_name,form_active_time,member_office,last_execution_time
820,CLASQUIN (FAR EAST) Limited.1578386544.rejected,CLASQUIN,crystal.poon@clasquin.com.1578386544.rejected,11111111.1578386544.rejected,"Unit 05-09, 12F, Metro Loft, NO.38 Kwai Hei Street, Kwai Chung, Hong Kong ",,Hong Kong,,000000,HK,,REJECTED,others,Invalid Business Registration Number (Tax ID),916,45,,,2019/12/30 上午 07:41:27,2020/1/7 上午 08:42:24,,,,,,,,,2020/5/18 上午 01:32:21
30,MINGKUN INTERNATIONAL LOGISTICS LTD,MINGKUN,gzmarket3@mingkungz.com,914401013044809638,ROOM 806 NORTH TOWER GUANGZHOU INTERNATIONAL TRADE BUILDING NO.628 GUANGZHOU ROAD(M)GUANGZHOU CHINA,,GUANGZHOU,GUANGDONG,TIANHE,CN,CNM003515,APPROVED,,,61,14,35,,2019/12/20 上午 02:30:07,2019/12/20 上午 03:37:30,2019/12/20 上午 03:37:30,CNM003515,252,CN,GUANGZHOU,"BRUCE CHENG (CHENG, TONG-YU)",2019/12/20 上午 02:26:29,GUANGZHOU,2020/5/18 上午 01:32:21
25,"Qingdao Qualtime International Logistics Co.,Ltd.1576726272.rejected",QUALTIME,hello_juliet@163.com.1576726272.rejected,913702005720811099.1576726272.rejected,"RM707,Century Mansion,No.39,Donghai Road,Qingdao China",,QINGDAO,,266000,CN,,REJECTED,invalid_name,,54,14,,,2019/12/18 上午 10:44:24,2019/12/19 上午 03:31:12,,,,,,,,,2020/5/18 上午 01:32:21
19,PARISI GRAND SMOOTH LOGISTICS LTD,PGSTSN,tsn-jerryfan@parisigs.com,91120000MA06P56350,"ROOM 3403,1ST BUILDING JINHUI SQUARE,NO.189 NANJING ROAD,HEPING DISTRICT,TIANJIN 300051 CHINA",,TIANJIN,TIANJIN,300051 ,CN,CNP003437,APPROVED,,,47,12,15,,2019/12/16 上午 09:11:05,2019/12/17 上午 02:33:04,2019/12/17 上午 02:33:04,CNP003437,14,CN,TIANJIN,"DAVID WAN (WAN, DA-WEI)",2019/12/16 上午 03:07:36,TIANJIN,2020/5/18 上午 01:32:21
20,ETERNITY INTERNATIONAL FREIGHT FORWARDER CORP.,ETERNITY,peter@ms2.eifftwn.com,23293210,"12F, NO.88, SEC 2, NANKING E. ROAD, TAIPEI, TAIWAN",,TAIPEI CITY,,104,TW,TWE000273,APPROVED,,,48,11,16,,2019/12/16 下午 01:51:02,2019/12/17 上午 03:50:04,2019/12/17 上午 03:50:04,TWE000273,8,TW,Taipei,"DANIEL LEE,(LEE, MIN-WEI)",2019/12/16 下午 01:34:23,Taipei,2020/5/18 上午 01:32:21
23,"Decent Logistics Co., Ltd..1576747888.rejected",Decent,yvonne.tang@pandalog.com.1576747888.rejected,53220995.1576747888.rejected,"5F, No.209, Section 3, Civic Blvd",,Taipei,,10492,TW,,REJECTED,invalid_name,,52,11,,,2019/12/18 上午 02:38:21,2019/12/19 上午 09:31:28,,,,,,,,,2020/5/18 上午 01:32:21
27,"Qingdao Everocean International Logistics Co.,Ltd..1576809382.rejected",Everocean,305476944@qq.com.1576809382.rejected,913702005647012758.1576809382.rejected,"FOURTH FLOOR,FUTAI PLAZA B,NO.18 HONGKONG ZHONG ROAD,QINGDAO,CHINA",,QINGDAO,SHANDONG,266042,CN,,REJECTED,others,Please applied the email with gary@everocean-log.com,58,45,,,2019/12/19 上午 09:21:27,2019/12/20 上午 02:36:22,,,,,,,,,2020/5/18 上午 01:32:21
322,UNITEX INTERNATIONAL FORWARDING (GUANGZHOU) LIMITED SHANGHAI BRANCH,Unitex,shelly_sha@uif.com.hk,913100007914619295,"8TH FLOOR,BLOCK B,NO 188 DONGJIANGWAN ROAD",,Shanghai,SHANGHAI,200000,CN,CNU000164,APPROVED,,,365,14,103,,2019/12/20 上午 06:49:12,2019/12/20 上午 07:09:00,2019/12/20 上午 07:09:00,CNU000164,163,CN,SHANGHAI,"JEFF WANG (WANG, ZHI-GANG)",2019/12/20 上午 06:41:52,SHANGHAI,2020/5/18 上午 01:32:21
52,"CHU KONG TRANSHIPMENT & LOGISTICS CO.,LTD.1576827341.rejected",CKS,xbl-gz@chukong.com.1576827341.rejected,00000000000000.1576827341.rejected,"CHU KONG SHIPPING TOWER, 143 CONNAUGHT ROAD CENTRAL, HONG KONG",,HONG KONG,,999077,HK,,REJECTED,others,"Invalid TAX ID, please re-apply with the Business registration number of your esteemed company in TAX ID field, Thanks. ",84,11,,,2019/12/20 上午 02:51:21,2019/12/20 上午 07:35:41,,,87,CN,ZHONGSHAN,"ALBERT ZHANG (ZHANG, DE-WU)",,ZHONGSHAN,2020/5/18 上午 01:32:21
12,ITI International Transportation Inc.,ITI,eva.huang-tpe@iti-international.com,84938207,"4FL, NO.26, SEC. 3 NANKING RD., TAIPEI TAIWAN",,TAIPEI,,104,TW,TWI000143,APPROVED,,,35,11,9,,2019/12/11 上午 03:44:34,2019/12/11 上午 05:53:43,2019/12/11 上午 05:53:43,TWI000143,478,TW,TAIPEI,"JENNY LIN,(LIN, CHIA-JUNG)",2019/12/11 上午 03:39:53,TAIPEI,2020/5/18 上午 01:32:21
34,"Sinotrans Changjiang Co., Ltd.",Sinotrans,zhulin8@sinotrans.com,9132050874558141XP,"No.718, ChangJiang Rd., New District, Suzhou, China",,SUZHOU,JIANGSU,215000,CN,CNS031110,APPROVED,,,65,14,28,,2019/12/20 上午 02:38:14,2019/12/20 上午 03:17:37,2019/12/20 上午 03:17:37,CNS031110,93,CN,SUZHOU,ERIC KUO,2019/12/20 上午 02:30:02,SUZHOU,2020/5/18 上午 01:32:21
17,Eternity Int'l Freight Forwarder (SHENZHEN) Ltd.,Eternity SZ,emma.huang@eiffsz.com.cn,TAX NO.:440300672968196,"BLOCK A, 26/F CD UNIT, HONG LONG CENTURY","PLAZA, NO. 4002, SHENNAN DONG RD.,",SHENZHEN,GUANGDONG,518000,CN,CNE000195,APPROVED,,,41,11,14,,2019/12/13 上午 08:36:51,2019/12/16 上午 08:24:45,2019/12/16 上午 08:24:45,CNE000195,11,CN,SHENZHEN,"DANNY HE (HE, SHI-YUAN)",2019/12/13 上午 08:29:12,SHENZHEN,2020/5/18 上午 01:32:21
14,"Pegasus Logistics Co., Ltd.","Pegasus Logistics Co., Ltd.",tchop@pegasuslog.com,25133490,"Room 7,9F,No.38,Xinguang Rd.,","Lingya Dist.,",Kaohsiung,,80247,TW,TWP001976,APPROVED,,,37,11,11,,2019/12/11 上午 11:22:17,2020/3/10 上午 07:41:09,2019/12/12 上午 12:31:05,TWP001976,290,TW,TAICHUNG,"RUSTY LIAO,(LIAO, CHUN-LI)",2019/12/11 上午 11:20:47,TAICHUNG,2020/5/18 上午 01:32:21
1183,MAX SEAIR LOGISTICS INC,MAX SEAIR,se.tpe@mfctpe.com.tw,97109152,"7F., No.66, Songjiang Rd., Zhongshan Dist., Taipei , Taiwan R.O.C.",,TAIPEI,,10456,TW,TWM002138,APPROVED,,,1366,43,1155,,2020/1/16 上午 05:54:39,2020/1/22 上午 04:07:14,2020/1/22 上午 04:07:14,TWM002138,285,TW,TAIPEI,"WARREN CHIEN,(CHIEN, WEI-LUN)",2020/1/16 上午 05:54:26,TAIPEI,2020/5/18 上午 01:32:21
15,DIVERSIFIED FREIGHT SYSTEM CORP.,DFS,irene_cho@dimerco.com,04378245,"12F.-8, NO.201, SEC. 2, WENXIN RD., XITUN DIST.,",TAICHUNG CITY 40758 ,Taichung,,40866,TW,TWD001330,APPROVED,,,38,11,12,,2019/12/12 上午 01:11:44,2019/12/12 上午 02:13:02,2019/12/12 上午 02:13:02,TWD001330,290,TW,TAICHUNG,"RUSTY LIAO,(LIAO, CHUN-LI)",2019/12/12 上午 01:10:37,TAICHUNG,2020/5/18 上午 01:32:21
26,"Qingdao Qualtime International Logistics Co.,Ltd",Qualtime,greenx@qual-time.com,913702005720811099,"RM707,Century Mansion,No.39,Donghai West Road,Qingdao China",,QINGDAO,,266000,CN,CNQ003367,APPROVED,,,55,14,18,,2019/12/19 上午 03:45:12,2019/12/19 上午 04:12:49,2019/12/19 上午 04:12:49,CNQ003367,205,CN,QINGDAO,"ANDY KONG (KONG, QIANG)",2019/12/19 上午 03:43:51,QINGDAO,2020/5/18 上午 01:32:21
11,SEAMASTER GLOBAL FORWARDING (SHANGHAI)  LTD - SHENZHEN BRANCH,SEAMASTER GLOBAL FORWARDING,cindy.lin@seamasterglobal.com,440300580082689,"41F, THE PANGLIN PLAZA, 2002 JIA BIN ROAD,LUO HU DISTRICT ",,Shenzhen,GUANGDONG,518001,CN,CNS013811,APPROVED,,,34,12,8,,2019/12/10 上午 03:45:24,2019/12/10 上午 04:01:47,2019/12/10 上午 04:01:47,CNS013811,146,CN,SHENZHEN,"AARON LIN (LIN, HUNG)",,SHENZHEN,2020/5/18 上午 01:32:21
13,"PORT ALLIANCE SUPPLY CHAIN SOLUTIONS CO., LTD.",PATPE,fion.tu@port-alliance.com,25089298,"11F., No.132, Sec. 2, Nanjing E. Rd., Zhongshan Dist.",,TAIPEI,,10489,TW,TWP001902,APPROVED,,,36,11,10,,2019/12/11 上午 06:02:10,2019/12/11 上午 06:04:20,2019/12/11 上午 06:04:19,TWP001902,287,TW,TAIPEI,"ALLEN HUNG,(HUNG, CHEN-LUN)",2019/12/11 上午 06:01:00,TAIPEI,2020/5/18 上午 01:32:21
32,"QINGDAO XINMING GLOBAL LOGISTICS CO.,LTD",XINMING,victorxjlliu@263.net,91370202MA3ETP6774,"301,APARTMENT 3, 18th BUILDING, NO.274 NINGXIA ROAD,SHINAN DISTRICT,QINGDAO,SHANDONG.",,QINGDAO,SHANDONG,266071,CN,CNQ007165,APPROVED,,,63,46,142,,2019/12/20 上午 02:34:24,2019/12/20 上午 07:55:11,2019/12/20 上午 07:55:11,CNQ007165,205,CN,QINGDAO,"ANDY KONG (KONG, QIANG)",2019/12/20 上午 02:34:03,QINGDAO,2020/5/18 上午 01:32:21
28,"QINGDAO BOXSTER INTERNATIONAL TRANSPORTATION CO.,LTD.",QDBD,helen@qdboxster.com,91370200579759066G,"ROOM 1707, EXCELLENCE MANSION, NO. 128 YANJI ROAD",QINGDAO CITY,QINGDAO,SHANDONG,266000,CN,CNQ005669,APPROVED,,,59,44,19,,2019/12/20 上午 01:40:41,2019/12/20 上午 02:01:43,2019/12/20 上午 02:01:43,CNQ005669,186,CN,QINGDAO,"SMART PU (PU, YU-TAO)",2019/12/20 上午 01:39:23,QINGDAO,2020/5/18 上午 01:32:21
59,IFB International Freightbridge Limited,IFB,esther-fe@ifbgroup.net,0776967100011166,"Room 604-606, 6/F, Capital Centre","151 Gloucester Road, Wan Chai",WAN CHAI,,852,HK,HKI000034,APPROVED,,,91,45,219,,2019/12/20 上午 02:54:26,2019/12/20 上午 08:49:14,2019/12/20 上午 08:49:14,HKI000034,40,HK,HONG KONG,"FRED TUNG (TUNG, YIU-FAT)",2019/12/20 上午 02:53:27,HONG KONG,2020/5/18 上午 01:32:21
1352,"FINE HORSE SUPPLY CHAIN (JIANGMEN) CO.,LTD.","FINE HORSE SUPPLY CHAIN (JIANGMEN) CO.,LTD.",ope@fh-logistics.cn,91440703325104043G,"Room 1106, No.4 Building, Mogen International, No. 95 Gangkou 2nd Road, Pengjiang Dist, Jiangmen City, Guangdong Province, China",,JIANGMEN,GUANGDONG,529000,CN,CNF009188,APPROVED,,,1599,46,1326,,2020/1/22 上午 02:52:12,2020/2/6 上午 05:33:21,2020/2/6 上午 05:33:21,CNF009188,376,CN,ZHONGSHAN,"PETER LIN (LIN, PENG)",2020/1/22 上午 02:50:49,ZHONGSHAN,2020/5/18 上午 01:32:21
60,"GUANGZHOU NOBLE INTERNATIONAL LOGISTICS CO.,LIMITED",Noble,claire@nobleagent.cn,91440105MA59BA4X7D,"ROOM 1911-3,NO.5 NO.1 HUIZHAN SOUTH 5 ROAD HAIZHU AREA,GUANGZHOU,CHINA",,GUANGZHOU,GUANGDONG,510000,CN,CNG008272,APPROVED,,,92,45,221,,2019/12/20 上午 02:55:01,2019/12/20 上午 08:51:25,2019/12/20 上午 08:51:25,CNG008272,244,CN,GUANGZHOU,"HYDE LUO (LUO, XIAO-JUN)",2019/12/20 上午 02:51:20,GUANGZHOU,2020/5/18 上午 01:32:21
63,SHENZHEN SUNSHINE IMP&EXP CO.LTD,SUNSHINE,shipping1@sssl-group.com,91440300791737665A,"RM.2604-05,26/F.,HUNG CHEONG PLAZA,SHENNAN EAST RD.",,SHENZHEN,GUANGDONG,518000,CN,CNS014226,APPROVED,,,95,11,131,,2019/12/20 上午 02:57:21,2019/12/20 上午 07:41:27,2019/12/20 上午 07:41:27,CNS014226,43,CN,SHENZHEN,"VINSON MO (MO, WEI-GANG)",2019/12/20 上午 02:44:50,SHENZHEN,2020/5/18 上午 01:32:21
37,"QINGDAO CHANCE GLORY LOGISTICS CO.,LTD",CHANCE GLORY,czsw01@chanceglory.com,91370202086481764B,"B-618.FULLHOPE PLAZA,NO.12 HONGKONG MIDDLE ROAD QINGDAO CHINA",,QINGDAO,SHANDONG,266071,CN,CNQ006142,APPROVED,,,68,14,36,,2019/12/20 上午 02:40:26,2019/12/20 上午 03:38:49,2019/12/20 上午 03:38:49,CNQ006142,16,CN,QINGDAO,"MICHAEL LIU (LIU, WEI)",2019/12/20 上午 02:38:01,QINGDAO,2020/5/18 上午 01:32:21
41,"Qingdao Sixty-Two Logistics Co., Ltd",Sixty-Two,joy.zhao@sixty-two.com.cn,91370200MA3MQ1E73U,"RM 809, ZHONGSHANG BUILDING, NO.100 HONGKONG
MIDDLE ROAD, QINGDAO, SHANDONG PROVINCE, CHINA",,QINGDAO,SHANDONG,266000,CN,CNQ007284,APPROVED,,,73,14,38,,2019/12/20 上午 02:43:23,2019/12/20 上午 03:47:25,2019/12/20 上午 03:47:25,CNQ007284,58,CN,QINGDAO,VICTOR ZHAO,,QINGDAO,2020/5/18 上午 01:32:21
42,Titan Shipping Line Corp.,Titan,tony@tsltrans.com,91370200667872384R,"Room 1103,Unit 2, Building 3, No.8, Huangtai Road, Shibei District, Qingdao, Shandong Province, China",,QINGDAO,SHANDONG,266000,CN,CNT004639,APPROVED,,,74,14,39,,2019/12/20 上午 02:45:09,2019/12/20 上午 03:48:31,2019/12/20 上午 03:48:31,CNT004639,58,CN,QINGDAO,VICTOR ZHAO,2019/12/20 上午 02:43:44,QINGDAO,2020/5/18 上午 01:32:21
43,"JIANGSU TIANXIN LOGISTICS CO.,LTD",TXL,tangxiaobing@txlchina.com,91320594MA1ME24Y4B,"Room 1208/1209 Genway Building No.188 Wangdun Rd.,Sip.Prc Suzhou Jiangsu,China",,SUZHOU,JIANGSU,215000,CN,"CNJ008113
",APPROVED,,,75,14,40,,2019/12/20 上午 02:46:06,2020/1/3 上午 04:00:12,2019/12/20 上午 03:49:16,"CNJ008113
",93,CN,SUZHOU,ERIC KUO,2019/12/20 上午 02:33:49,SUZHOU,2020/5/18 上午 01:32:21
44,Oriental Logistics Group (China) Ltd.(Shenzhen Branch),Oriental Logistics Group (China) Ltd.(Shenzhen Branch),yoyo.szx@orientalair.com.cn,914403006729757913,"Room 2114-2115,shenhua  commerical  BLDG, Jiabin road,Shenzhen,CHINA",,SHENZHEN,,518000,CN,CNO001181,APPROVED,,,76,14,41,,2019/12/20 上午 02:46:33,2019/12/20 上午 03:50:03,2019/12/20 上午 03:50:03,CNO001181,94,CN,SHENZHEN,"SAM HUNG (HUNG,MING-HUNG)",2019/12/20 上午 02:42:51,SHENZHEN,2020/5/18 上午 01:32:21
45,"FORTUNE DELIVERY LOGISTICS CO.,LTD",FUDE,huxin@fdlc.net,912102002426605974,"SHENGSHI BUILDING1106RM,NO.35LUXUN ROAD ZHONGSHAN DIST DALIAN CHINA",,DALIAN,LIAONING,116001,CN,CNF001431,APPROVED,,,77,14,42,,2019/12/20 上午 02:46:55,2019/12/20 上午 03:52:03,2019/12/20 上午 03:52:03,CNF001431,109,CN,DALIAN,"JACKY LU (LU, JIE)",2019/12/20 上午 02:46:26,DALIAN,2020/5/18 上午 01:32:21
36,"H&H INTERNATIONAL LOGISTICS CO.,LTD.",H&H,513327482@qq.com,91370202077389181D,qingdao,,qingdao,,266000,,CNH011792,APPROVED,,,67,14,51,,2019/12/20 上午 02:39:45,2019/12/20 上午 04:13:14,2019/12/20 上午 04:13:14,CNH011792,16,CN,QINGDAO,"MICHAEL LIU (LIU, WEI)",2019/12/20 上午 02:39:11,QINGDAO,2020/5/18 上午 01:32:21
39,"CHONGQING XCF INTERNATIONAL LOGISTICS CO.,LTD.","CHONGQING XCF INTERNATIONAL LOGISTICS CO.,LTD.",rfq-xcf@cqxcf.cn,915000005868572704,"T3-17 / F, Guojin center, Jiangbei District, Chongqing",,CHONGQING,CHONG QING,400020,CN,CNC010278,APPROVED,,,70,14,68,,2019/12/20 上午 02:41:46,2019/12/20 上午 05:31:32,2019/12/20 上午 05:31:32,CNC010278,110,CN,CHONG QING,JASPER PENG,2019/12/20 上午 02:40:24,CHONG QING,2020/5/18 上午 01:32:21
47,SINORICH TRANSPORT LIMITED,SINORICH,mhso@sinorich.com,91440500MA4ULE2156,"7C,WEST BLDG,ZHONGQU MANSION,211 ZHONGSHAN RD.",,SHANTOU,GUANGDONG,515000,CN,CNS004262,APPROVED,,,79,45,69,,2019/12/20 上午 02:50:10,2019/12/20 上午 05:36:45,2019/12/20 上午 05:36:44,CNS004262,96,CN,SHANTOU,JASON CHIANG,2019/12/20 上午 02:49:47,SHANTOU,2020/5/18 上午 01:32:21
54,"QINGDAO M & J EXPRESS CO.,LTD",QINGDAO M & J,candy.liu@mjexpress.cn,91370202334030381G,"ROOM 1502,UNIT 2,BUILDING 7,NO.7 YINCHUAN WEST ROAD,
QINGDAO SHANDONG,CHINA",,QINGDAO,CHONG QING,266071,CN,CNQ006624,APPROVED,,,86,14,171,,2019/12/20 上午 02:51:35,2019/12/20 上午 08:11:37,2019/12/20 上午 08:11:37,CNQ006624,16,CN,QINGDAO,"MICHAEL LIU (LIU, WEI)",2019/12/20 上午 02:49:41,QINGDAO,2020/5/18 上午 01:32:21
49,Bondex Logistics Co. Ltd.,Bondex,wmsunny@bondex.com.cn,91370200614325643Q,"10th Floor,Tower B,China Resources Building,No. 6 Shandong Road,Qingdao, China,266071",,QINGADO,SHANDONG,266071,CN,CNA000093,APPROVED,,,81,45,276,,2019/12/20 上午 02:50:35,2019/12/30 上午 07:47:34,2019/12/20 上午 09:43:38,CNA000093,58,CN,QINGDAO,VICTOR ZHAO,2019/12/20 上午 02:42:13,QINGDAO,2020/5/18 上午 01:32:21
51, ELG  LOGISTIC ,ELG,cathy.zhang@elg-logistic.com,91330203793004422A,"6-3,Huiyin international plaza, no.77 Baohua
Street,Yinzhou District, Ningbo, China
",,Ningbo,,315040,CN,CNE003058,APPROVED,,,83,45,208,,2019/12/20 上午 02:51:20,2019/12/20 上午 08:36:23,2019/12/20 上午 08:36:23,CNE003058,102,CN,NINGBO,"DENNIS WU (WU, ZENG-HUI)",2019/12/20 上午 02:49:11,NINGBO,2020/5/18 上午 01:32:21
64,"QINGDAO KFAM INTERNATIONAL LOGISTICS CO.,LTD.1576832614.rejected","QINGDAO KFAM INTERNATIONAL LOGISTICS CO.,LTD",qdkfam@qq.com.1576832614.rejected,91370202061091436P.1576832614.rejected,"Room 2102 No.B Building World Trade Center,
No.6 Hong Kong Middle Road,Qingdao,China",,QINGDAO,SHANDONG,266000,CN,,REJECTED,others,Please verify especially for the email address domain name is @qq.com private mailbox. ,96,45,,,2019/12/20 上午 02:57:28,2019/12/20 上午 09:03:35,,,,,,,,,2020/5/18 上午 01:32:21
62,"GOLDEN BRIDGE LOGISTICS (QINGDAO) CO.,LTD",GOLDEN BRIDGE (QINGDAO) ,gbop@goldenbridge.com.cn,91370200797520678T,"ROOM B,23/F,TOWER A,WORLD TRADE CENTER NO.6 HONGKONG MIDDLE ROAD QINGDAO,CHINA.",,QINGDAO,SHANDONG,266000,CN,CNG008782,APPROVED,,,94,45,239,,2019/12/20 上午 02:57:15,2019/12/20 上午 09:07:30,2019/12/20 上午 09:07:29,CNG008782,58,CN,QINGDAO,VICTOR ZHAO,,QINGDAO,2020/5/18 上午 01:32:21
55,"Qingdao Joyshine International Transportation Co.,Ltd.",Joyshine,kevin@js-logistics.net,9137020273728815XE,"Rm A,Floor 20 Huaren International Building,No.2,Shandong Road,Qingdao",,QINGDAO,SHANDONG,266000,CN,CNQ000286,APPROVED,,,87,14,133,,2019/12/20 上午 02:51:37,2019/12/20 上午 07:45:13,2019/12/20 上午 07:45:13,CNQ000286,190,CN,QINGDAO,"PHILIP WANG (WANG, FENG)",2019/12/20 上午 02:51:06,QINGDAO,2020/5/18 上午 01:32:21
